,PROFILE(1),IDF_VAL,PROFILE(2),IDF_VAL,PROFILE(3),IDF_VAL,PROFILE(4),IDF_VAL,PROFILE(5),IDF_VAL,PROFILE(6),IDF_VAL,PROFILE(7),IDF_VAL,PROFILE(8),IDF_VAL,PROFILE(9),IDF_VAL,PROFILE(10),IDF_VAL,PROFILE(11),IDF_VAL,PROFILE(12),IDF_VAL,PROFILE(13),IDF_VAL,PROFILE(14),IDF_VAL,PROFILE(15),IDF_VAL,PROFILE(16),IDF_VAL,PROFILE(17),IDF_VAL,PROFILE(18),IDF_VAL,PROFILE(19),IDF_VAL,PROFILE(20),IDF_VAL,PROFILE(21),IDF_VAL,PROFILE(22),IDF_VAL,PROFILE(23),IDF_VAL,PROFILE(24),IDF_VAL,PROFILE(25),IDF_VAL,PROFILE(26),IDF_VAL,PROFILE(27),IDF_VAL,PROFILE(28),IDF_VAL,PROFILE(29),IDF_VAL,PROFILE(30),IDF_VAL,PROFILE(31),IDF_VAL,PROFILE(32),IDF_VAL,PROFILE(33),IDF_VAL,PROFILE(34),IDF_VAL,PROFILE(35),IDF_VAL,PROFILE(36),IDF_VAL,PROFILE(37),IDF_VAL,PROFILE(38),IDF_VAL,PROFILE(39),IDF_VAL,PROFILE(40),IDF_VAL,PROFILE(41),IDF_VAL,PROFILE(42),IDF_VAL,PROFILE(43),IDF_VAL,PROFILE(44),IDF_VAL,PROFILE(45),IDF_VAL,PROFILE(46),IDF_VAL,PROFILE(47),IDF_VAL,PROFILE(48),IDF_VAL,PROFILE(49),IDF_VAL,PROFILE(50),IDF_VAL
0,disha,0.3681174658692669,berlin,0.38208778773862595,deep,0.30741955311502334,kolkata,0.47421453336120406,android,0.29305040706959756,delhi,0.30457456773738023,hr,0.3516946456544603,news,0.30269169990771855,priyanshu,0.5332187134718354,content,0.700496768143376,chaturvedi,0.403842503899867,raipur,0.3013951209423861,raipur,0.3223097529307832,coordinator,0.32017783422342005,raipur,0.26650139648312066,shamani,0.3363403473623757,flutter,0.3126160396133509,sahil,0.3497792508760877,raipur,0.3130863612747997,technology,0.31151657688927925,startup,0.25637744087986264,raipur,0.2861713502291086,nehal,0.32286387032387626,vaibhav,0.3792664364388537,svg,0.45052490724136274,raipur,0.3478597869511096,noida,0.49045105941771794,service,0.5202153230690681,iiit,0.3724834271958993,hbtu,0.38573555887747807,bilaspur,0.3508668022722411,healthcare,0.3412857803488114,sarvagram,0.49159279982436366,credit,0.4488014547459047,strategy,0.32601685598890584,studies,0.3039803335529123,marketing,0.29010094655059665,hr,0.3386576064123046,times,0.3267411509419301,ram,0.4331215102338246,credit,0.5175004507724678,risk,0.35111016145113016,enactus,0.2177049460784766,koireader,0.41657071115060545,global,0.2261363736166546,business,0.3343736010409817,soa,0.2548574941647279,germany,0.4694540105324359,natural,0.27412288892225783,accenture,0.22922931486034295
1,dave,0.3681174658692669,jahre,0.2464605604468246,learning,0.27822010700162997,bagaria,0.3146252624907659,search,0.20848848677438617,igdtuw,0.2594166508208148,crio,0.24025744797056486,raipur,0.2087333643030738,kumar,0.4460219487169912,writer,0.2850421423525769,shaily,0.403842503899867,design,0.2741409450052912,chemical,0.2004925887096142,raipur,0.3102399390300269,android,0.21637143911750537,brand,0.24617155531303447,werainkhatri,0.25926267702358885,problems,0.23723995115403887,responsible,0.21358123850787705,raipur,0.3102008831972578,fyle,0.21262217297992847,java,0.24789886679225256,tiwari,0.32286387032387626,designer,0.22865761604975557,samsung,0.3861642062068823,april,0.26973647567801146,information,0.349886078420225,customer,0.43810613107098484,naya,0.3724834271958993,kanpur,0.30234968246752014,website,0.2361129526977813,mohapatra,0.1706428901744057,rural,0.4112030823623482,structured,0.30659520551435643,banking,0.3250665062868188,sydenham,0.24227208674981,accenture,0.21670979199577192,management,0.20193998546880337,simplymarry,0.2709770925117802,commerce,0.42781579661876895,indialends,0.3535263876276565,amp,0.29905261896766394,ramjas,0.2177049460784766,bengaluru,0.16819671735292974,metlife,0.20162488855037378,customer,0.2441606745841275,expertise,0.22089441234722254,bonn,0.3244446010635359,science,0.2613615615057782,ayushi,0.1754694706284426
2,visualization,0.3329039459527065,open,0.19318227339142857,raipur,0.25202017051630726,piyush,0.3146252624907659,engineer,0.1490031439191262,months,0.247563636744657,assisted,0.15072627670905442,tejaskochar,0.20179446660514572,priyanshumailid,0.2666093567359177,writing,0.2636497733691921,raipur,0.3341832148550972,well,0.22484886095016976,marketing,0.1886249727504166,months,0.2787883559022004,india,0.18887684925951254,raj,0.21021271710148481,raipur,0.2502991630156851,raipur,0.18090337417833066,nit,0.19273534519081148,ronin,0.24990742764992788,stack,0.19228308065989697,documentation,0.24094663440040284,raipur,0.26717268515189524,agrawal,0.2114968971012324,algorithm,0.1746121821853747,area,0.2276995287789303,jaypee,0.27116470579684304,distancematrixapi,0.3109584024879811,processing,0.2506596841213064,varanasi,0.19286777943873903,event,0.2361129526977813,ofbusiness,0.1706428901744057,mumbai,0.2205422432668886,simpl,0.30659520551435643,banks,0.25170030977785346,rajote,0.24227208674981,content,0.20481748141207168,employees,0.19270319030107802,faircent,0.2709770925117802,shri,0.3394920381987518,risk,0.28016984950450124,reporting,0.19692616104506264,alumni,0.1814207883987305,asepsislife,0.1666282844602422,transformations,0.20162488855037378,data,0.19584992404068977,delhi,0.19852350225575804,telekom,0.19466676063812155,birla,0.24668668790641005,happiness,0.1754694706284426
3,machine,0.19312872768942035,data,0.1790550735071725,aman,0.22841465138825312,commerce,0.2330783408267065,https,0.14652520353479878,student,0.2202502556587186,operations,0.1490310315597985,data,0.17103903690224553,amour,0.2666093567359177,free,0.15818986402151528,cell,0.22550548530880793,motor,0.18210992487661729,portrait,0.1797664899450032,placement,0.26879993428396076,developer,0.18749455193080847,united,0.21021271710148481,codevector,0.23446202971001318,developer,0.1781820153467004,jindal,0.18917404353916634,sidmudholkar,0.24990742764992788,raipur,0.175946713458193,nit,0.23488869011753744,programming,0.24670646537574634,web,0.19897791090072653,amazon,0.16150756474363806,india,0.20031193980967546,shivamgoel,0.27116470579684304,hannah,0.3109584024879811,language,0.24427410082902257,ayush,0.19286777943873903,community,0.1760939264910067,asish,0.1706428901744057,business,0.21888536066570688,york,0.2772668052706801,initiatives,0.155385622152936,surbhi,0.24227208674981,gurgaon,0.17149779569436502,berkadia,0.1917780484337371,head,0.22360580178883993,consulting,0.28291003183229313,analytics,0.18547368103260192,credit,0.1945601931932735,delhi,0.1789213327110573,saint,0.1666282844602422,countries,0.16865335636018325,market,0.17493128011782066,banking,0.19852350225575804,controlling,0.19466676063812155,anwesh,0.24668668790641005,irma,0.1754694706284426
4,remote,0.18405873293463346,monate,0.17604325746201754,verma,0.22841465138825312,xavier,0.20975017499384394,lead,0.13482204990485766,microsoft,0.2145539095786985,talent,0.13348929827086334,science,0.17103903690224553,mining,0.24110593795302368,aditiag,0.12607719720292415,entrepreneurship,0.22550548530880793,shreyash,0.18210992487661729,price,0.1797664899450032,august,0.23847247700840035,bengaluru,0.1857623199502016,help,0.16975312001484877,labs,0.21686569040820608,google,0.17653582039237212,conduct,0.1710779612624605,mudholkar,0.24990742764992788,web,0.14873313929547582,js,0.18070997580030213,content,0.23918160484708897,python,0.18777862326016181,software,0.1350644993128656,ii,0.19007900221037108,technology,0.2535107751219497,davis,0.281212625896329,natural,0.20695529622040504,aeroclub,0.19286777943873903,innovative,0.1760939264910067,kolkata,0.15431946798201815,founder,0.17727355388303642,greater,0.18023804307105748,cases,0.15174871083554958,management,0.19133220177174345,months,0.14391506741222093,organization,0.18012942814089297,years,0.22343122181599648,college,0.21444281139067273,financial,0.17273286364456114,auto,0.18029715354895756,saharanpur,0.1451366307189844,actions,0.1506888929411589,portals,0.16802074045864482,sales,0.17117713186263533,bhagwat,0.1878770058657083,international,0.18284267964016024,roy,0.24668668790641005,agrawal,0.14677510982399286
5,dishadave,0.18405873293463346,pipelines,0.17604325746201754,innovation,0.20656487618972738,frm,0.20975017499384394,software,0.1307650501853135,mentor,0.20333759799255172,etc,0.13348929827086334,web,0.1588038284118973,national,0.2206215816415152,aditi,0.12607719720292415,nit,0.20572252655726447,shreyashakhil,0.18210992487661729,photographer,0.1797664899450032,joshi,0.21423333620315071,bhoomika,0.18403008796959475,business,0.16847780428901507,runner,0.21686569040820608,silare,0.17488962543804384,flutter,0.1710779612624605,siddhant,0.24990742764992788,developer,0.14441659873217064,marketing,0.1612729311029498,undergraduate,0.20829697050587237,campus,0.17811487515571905,recommendation,0.12872140206896077,university,0.18847644701232227,adobe,0.21254603265683256,specialist,0.2601076615345341,praneeth,0.18624171359794964,verzeo,0.19286777943873903,manage,0.14674493874250558,years,0.15075186835563628,research,0.17193912410027012,city,0.18023804307105748,worked,0.1361486837593727,marketing,0.19065802715240582,vit,0.13823840006627267,resources,0.17343287127097023,marketing,0.18955348391741944,award,0.1525551228186357,modelling,0.15985431329880095,develop,0.17149781558352695,lakdibazaar,0.1451366307189844,documents,0.1506888929411589,york,0.1519481488564932,marketing,0.13637990906258646,rapipay,0.1878770058657083,berlin,0.17604525394966347,september,0.2253572492659574,class,0.13753758891620577
6,bb,0.18405873293463346,processing,0.1658536238646413,project,0.15978026978994161,bcom,0.18968581334448162,azure,0.1246238699814157,american,0.17294443388054317,employee,0.12693610320850024,machine,0.1588038284118973,raipur,0.2206215816415152,audience,0.12607719720292415,sacred,0.2019212519499335,structural,0.18210992487661729,institute,0.17513327155725023,convener,0.21423333620315071,vmware,0.18403008796959475,nations,0.16817017368118786,up,0.21686569040820608,explore,0.14629008618314593,orders,0.14188053265437475,btech,0.2474633566166232,full,0.14308235702606148,montessori,0.15369899502056036,science,0.20524221882697227,javascript,0.1568386155099646,charts,0.12872140206896077,month,0.16599167734031475,software,0.14226354215808612,november,0.17363904192038887,nemani,0.18624171359794964,learning,0.17619172163370803,girlscript,0.14034672090889644,financial,0.14293037777724235,utpalisser,0.16386426660812123,intelligent,0.15329760275717821,consulting,0.13152621787453223,mumbai,0.16303502465407319,bar,0.13823840006627267,human,0.15785731529930827,rajat,0.18065139500785346,rai,0.1443738367446082,loss,0.15985431329880095,management,0.17057019522597777,wooden,0.1451366307189844,product,0.14428763007430476,it,0.15175899260085593,analysis,0.12498765367248847,ee,0.1878770058657083,months,0.13510708055418794,coviam,0.22308903932097812,every,0.13753758891620577
7,learning,0.16814433770039142,learning,0.14473971875474403,nit,0.15514311885618795,excel,0.16440770716458383,samveg,0.1246238699814157,dhriti,0.17294443388054317,scorecard,0.12012872398528243,developer,0.15419501580836367,institute,0.17315859363711233,chemical,0.10545990934767685,shailychaturvedi,0.2019212519499335,royzada,0.18210992487661729,jain,0.16257031899163518,khushi,0.21423333620315071,gajpal,0.18403008796959475,want,0.14066946017887685,android,0.20321690927815095,django,0.13708309099616034,raigarh,0.14188053265437475,jpmorgan,0.20904029634203541,pisda,0.1417481153199523,star,0.15369899502056036,computer,0.20037951386392144,language,0.13265194060048435,query,0.12872140206896077,tableau,0.15763871559496542,history,0.13558235289842152,walmart,0.15547920124399056,learning,0.17013856982398437,expert,0.1744183603749319,parking,0.14034672090889644,medical,0.14273781562302224,utpal,0.16386426660812123,hedge,0.15329760275717821,overall,0.13152621787453223,intern,0.16181018041683712,viral,0.13823840006627267,monitored,0.1491607043373511,peer,0.18065139500785346,anmol,0.1443738367446082,business,0.13773397825868214,regulatory,0.1661403438709244,commerce,0.13439879562338122,innovative,0.13937971468109767,management,0.13269286877637537,loyalty,0.11553336499151683,pmp,0.1878770058657083,february,0.1322209770672459,language,0.1941321341305295,maharashtra,0.13753758891620577
8,opencv,0.16645197297635325,nlp,0.1421602490268354,trichy,0.1522764342588354,member,0.1515314191626472,petbro,0.1246238699814157,indira,0.17294443388054317,abhay,0.12012872398528243,focused,0.14215308595710077,undergraduate,0.17200413679270765,agrawal,0.10545990934767685,om,0.2019212519499335,manufacturing,0.16468958473735454,engineers,0.16257031899163518,september,0.19570993375259704,oracle,0.16642606814222496,young,0.1318162078730347,mobile,0.16081992266276826,react,0.13708309099616034,internshala,0.14188053265437475,hashcode,0.20904029634203541,kuldeep,0.1417481153199523,tedxnitraipur,0.15369899502056036,microsoft,0.20027156724669495,programming,0.12880210938522568,binary,0.12872140206896077,python,0.15609702384880125,sde,0.13558235289842152,arizona,0.15547920124399056,raipur,0.15411665188594723,publicity,0.1744183603749319,participant,0.14034672090889644,founder,0.13845516267329241,isser,0.16386426660812123,new,0.1437531122873764,business,0.13075001360731753,microsoft,0.1502807064315971,salempur,0.13823840006627267,needs,0.1491607043373511,holding,0.18065139500785346,months,0.13151464522873374,uk,0.1325723953603712,loan,0.1502476279574646,project,0.13325255388241275,decision,0.13937971468109767,managed,0.12447187203133443,lebaka,0.11553336499151683,architectures,0.1878770058657083,olga,0.12977784042541435,development,0.18210802235833393,analyst,0.12360857639322363
9,krishna,0.16645197297635325,und,0.14083460596961403,researcher,0.1522764342588354,risk,0.14775744427997367,thaker,0.1246238699814157,saini,0.17294443388054317,sorting,0.12012872398528243,learning,0.13825993093863173,technology,0.16616799860260126,creation,0.10545990934767685,convent,0.2019212519499335,engineering,0.15770338478270407,research,0.15718747729201385,electrical,0.19374012262153822,july,0.16388153851300624,personal,0.1318162078730347,cell,0.1447721704379131,virtual,0.12320010739712449,developer,0.12045959074425718,national,0.20680058879817187,angularjs,0.1417481153199523,shashwat,0.15369899502056036,marketing,0.16938693290547835,vast,0.12642214547961791,user,0.11640812145691645,data,0.15588189130609556,scrum,0.13558235289842152,luminoq,0.15547920124399056,machine,0.14656446049741353,chemical,0.16132828923028597,publish,0.12692138114600535,months,0.13323766965849823,bureau,0.16386426660812123,years,0.1354284377536343,pieces,0.12585015488892673,india,0.1420872886717206,negotiation,0.13823840006627267,hyderabad,0.14259267638412826,magicbricks,0.18065139500785346,boston,0.13056326961046955,fraud,0.1325723953603712,score,0.1502476279574646,godrej,0.13125309595005694,manage,0.13937971468109767,coviam,0.12155851908519455,erp,0.11553336499151683,bhaskar,0.1878770058657083,honours,0.12977784042541435,years,0.1743452847632693,love,0.11808074901954319
