,PROFILE(1),COUNT,PROFILE(2),COUNT,PROFILE(3),COUNT,PROFILE(4),COUNT,PROFILE(5),COUNT,PROFILE(6),COUNT,PROFILE(7),COUNT,PROFILE(8),COUNT,PROFILE(9),COUNT,PROFILE(10),COUNT,PROFILE(11),COUNT,PROFILE(12),COUNT,PROFILE(13),COUNT,PROFILE(14),COUNT,PROFILE(15),COUNT,PROFILE(16),COUNT,PROFILE(17),COUNT,PROFILE(18),COUNT,PROFILE(19),COUNT,PROFILE(20),COUNT,PROFILE(21),COUNT,PROFILE(22),COUNT,PROFILE(23),COUNT,PROFILE(24),COUNT,PROFILE(25),COUNT,PROFILE(26),COUNT,PROFILE(27),COUNT,PROFILE(28),COUNT,PROFILE(29),COUNT,PROFILE(30),COUNT,PROFILE(31),COUNT,PROFILE(32),COUNT,PROFILE(33),COUNT,PROFILE(34),COUNT,PROFILE(35),COUNT,PROFILE(36),COUNT,PROFILE(37),COUNT,PROFILE(38),COUNT,PROFILE(39),COUNT,PROFILE(40),COUNT,PROFILE(41),COUNT,PROFILE(42),COUNT,PROFILE(43),COUNT,PROFILE(44),COUNT,PROFILE(45),COUNT,PROFILE(46),COUNT,PROFILE(47),COUNT,PROFILE(48),COUNT,PROFILE(49),COUNT,PROFILE(50),COUNT
0,Machine,2,Berlin,12,Raipur,8,Kolkata,5,Android,6,months,11,HR,7,Raipur,5,C,2,content,11,Raipur,4,Raipur,12,Raipur,13,months,10,Raipur,7,India,8,Raipur,7,Raipur,5,Raipur,15,Technology,4,Raipur,6,Raipur,8,Raipur,4,Web,3,SVG,7,Raipur,16,Technology,6,Customer,4,Language,5,HBTU,4,Bilaspur,10,months,6,Business,3,years,5,strategy,10,India,4,Marketing,4,HR,17,years,7,Commerce,8,credit,9,Management,11,India,11,Co,3,years,9,business,15,Technology,4,months,8,Science,5,Accenture,5
1,Learning,2,Data,7,Learning,7,Commerce,3,India,6,year,6,Working,4,months,5,National,2,writing,4,C,2,Engineering,8,Institute,9,Raipur,7,India,7,Shamani,7,Mobile,3,Developer,4,NIT,8,Raipur,3,Web,3,months,7,Computer,3,vaibhav,2,Samsung,6,April,13,Noida,4,Service,4,Processing,4,Learning,3,months,9,years,5,Rural,3,credit,5,banking,8,Marketing,3,months,4,management,13,Head,5,months,7,risk,7,India,10,Delhi,7,Founder,3,months,8,data,14,years,4,Germany,8,Development,4,June,5
2,Data,2,open,7,Deep,5,Member,3,months,5,Student,5,Crio,4,Developer,3,Institute,2,Content,4,EXECUTIVE,2,Design,5,Management,6,Coordinator,5,Technology,5,Business,6,werainkhatri,3,months,4,months,7,Bachelor,2,India,3,Java,5,Science,3,Python,2,months,4,India,13,Information,4,b,3,Learning,4,Science,3,event,9,Healthcare,3,Management,2,Simpl,4,years,7,Management,3,Raipur,2,organization,12,Marketing,4,Shri,6,India,6,amp,9,Enactus,6,KoiReader,3,IT,7,Business,10,SOA,3,Bonn,5,years,4,Intern,4
3,Visualization,2,Jahre,7,Present,5,piyush,2,Software,4,Microsoft,4,English,3,Machine,3,Technology,2,writer,4,Entrepreneurship,2,well,5,Marketing,6,August,5,months,5,help,6,Flutter,3,sahil,3,India,7,BTech,2,startup,3,NIT,5,b,2,Programming,2,Algorithm,3,Area,12,shivamgoel,2,Specialist,2,IIIT,4,Kanpur,3,website,7,Co,3,Co,2,Area,4,months,7,Studies,3,Accenture,2,Management,11,India,4,Ram,6,financial,6,Risk,8,Ramjas,6,Bengaluru,3,countries,6,customer,8,Delhi,3,year,5,September,4,Engineering,4
4,Raipur,2,Learning,6,months,5,bagaria,2,Lead,3,Delhi,4,Talent,3,Learning,3,Raipur,2,Raipur,4,Cell,2,months,5,Research,5,Technology,4,July,4,brand,6,Android,3,C,3,responsible,7,National,2,full,3,Marketing,4,C,2,Language,2,Amazon,3,months,8,Adobe,2,DistanceMatrixAPI,2,Naya,4,Technology,3,innovative,6,Founder,3,founder,2,New,4,India,6,Education,3,Skills,2,employees,10,Times,4,College,6,IndiaLends,5,Credit,7,Project,5,months,3,MetLife,6,months,7,solutions,3,Area,5,Engineering,3,months,4
5,Contact,1,NLP,6,NIT,4,Skills,2,Raipur,3,Head,4,etc,3,Science,3,Contact,1,aditiag,2,NIT,2,year,5,India,5,May,4,Application,3,months,6,Runner,3,Google,3,The,5,Institute,2,stack,3,August,4,Programming,2,C,2,using,3,month,8,Bachelor,2,November,2,Raipur,4,Present,3,India,5,B,3,SarvaGram,2,York,4,banks,6,June,3,Business,2,Human,9,Faircent,3,Consulting,5,Business,5,risk,7,August,5,India,3,India,6,market,6,systems,3,International,4,months,3,India,4
6,dishadave,1,Machine,5,National,3,Microsoft,2,based,3,India,3,employee,3,Technology,3,priyanshumailid,1,Social,2,Technology,2,Team,4,Intern,4,year,4,Developer,3,Top,5,Up,3,problems,3,Flutter,4,Siddhant,1,developer,3,Documentation,4,Microsoft,2,Designer,2,Development,2,Data,7,BTech,2,months,2,Natural,3,year,3,Manage,5,Company,2,year,2,Greater,3,business,5,Microsoft,2,Team,2,years,9,April,3,India,5,years,5,months,7,Management,4,March,3,web,6,sales,6,PMP,2,February,4,Natural,3,Management,4
7,linkedin,1,Processing,5,project,3,Excel,2,Engineer,3,September,3,data,3,news,3,linkedin,1,Chemical,2,Contact,1,Present,4,Indian,4,September,4,Bengaluru,3,Raj,4,Intern,3,Intern,3,also,4,Mudholkar,1,months,3,Data,3,Engineering,2,new,2,Student,2,year,7,Jaypee,2,Contact,1,Python,3,LinkedIn,2,November,5,Operations,2,months,2,City,3,also,5,Sydenham,2,Content,2,India,9,months,3,Management,3,analytics,5,years,6,Godrej,4,koireader,2,Global,5,analysis,6,Head,2,years,4,Language,3,IRMA,3
8,disha,1,Monate,5,working,3,Native,2,Microsoft,3,IGDTUW,3,Assisted,3,tejaskochar,2,priyanshu,1,Engineering,2,shailychaturvedi,1,shreyashakhil,3,S,3,Placement,3,Machine,3,Founder,4,CodeVector,3,May,3,Developer,4,Education,1,Fyle,3,Manager,3,Present,2,Campus,2,Award,2,Python,6,Institute,2,luminoq,1,Machine,3,Ayush,2,Learning,4,Financial,2,Mumbai,2,Structured,3,Head,4,Institute,2,June,2,months,9,May,3,Award,3,team,5,Develop,6,months,4,C,2,transformations,5,Marketing,5,Rapipay,2,Telekom,3,Vice,2,Maharashtra,3
9,dave,1,company,5,Technology,3,Bilingual,2,development,3,Mentor,3,dev,2,Enthusiast,2,kumar,1,NIT,2,c,1,Other,3,P,3,National,3,Learning,3,United,4,Labs,3,Present,3,Present,4,Computer,1,kdpisda,2,Entrepreneurship,3,Technology,2,Contact,1,Computer,2,University,6,India,2,linkedin,1,NLP,2,Machine,2,Present,4,CEO,2,Research,2,Credit,2,overall,4,Research,2,Gurgaon,2,Berkadia,8,Business,3,June,3,Credit,5,Auto,6,New,4,Android,2,global,5,customers,5,Fintech,2,Controlling,3,President,2,love,3
